"Timestamp","How do you address your seniors or supervisors in your workplace or educational institute?","How do you address the same seniors or supervisors in a social setting outside of the workplace or institution? For example: at a wedding or at their child's birthday party.","How do you address your juniors in your workplace or educational institute?","How do you address the same juniors in a social setting outside of the workplace or institution? For example: at a wedding or at their child's birthday party.","Suppose you just got a big promotion and are now in a senior position compared to your previous boss/supervisor. How would you address them now?","Suppose your junior just got a big promotion and is now in a senior position compared to you. How would you address them now?","How do you address your close friends?","How do you address your office colleagues or classmates?","How do you address your close elderly family members?","How do you address your siblings?","Are you more comfortable in holding important discussions on online electronic media or face to face meetings?"
"2020/09/08 11:50:44 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/08 11:50:50 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","Sir/Ma'am","Sir/Ma'am","Bhosdiwale, chutiye","Gandu","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/08 11:51:38 PM GMT+7","Depends on the person","Same as above","Their first name","Their First name","Same as before promotion","Same as before","Their First name","Their First name","Their First name","Their First name","Either of them, doesn't matter"
"2020/09/08 11:53:14 PM GMT+7","Mister or Miss followed by their last name","Their First name","Their first name","Their First name","Their First name","Sir/Ma'am","Their nickname","Bro/Dude/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/08 11:53:55 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/08 11:54:28 PM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Either of them, doesn't matter"
"2020/09/08 11:55:07 PM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Online media"
"2020/09/08 11:55:12 PM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/08 11:55:56 PM GMT+7","Their first name","Their First name","Their nickname","Their nickname","Their nickname","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/08 11:57:21 PM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/08 11:57:55 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/08 11:58:20 PM GMT+7","Boss","Boss","Their nickname","Their nickname","Mister or Miss followed by their last name","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/08 11:58:24 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/08 11:58:31 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Chhotu","Chhotu","Chal b**k","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/08 11:58:31 PM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/08 11:58:32 PM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/08 11:58:53 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their nickname","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/08 11:59:39 PM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Online media"
"2020/09/09 12:01:09 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 12:02:08 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 12:03:00 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their nickname","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 12:03:16 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Bhai/Behen","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Online media"
"2020/09/09 12:04:27 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their nickname","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bro/Dude/etc.","By the relation: Telugu OP","Their nickname","Face to face meeting"
"2020/09/09 12:06:07 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 12:06:07 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 12:09:01 AM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Mister or Miss followed by their last name","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Online media"
"2020/09/09 12:09:03 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","mostly 'bc' regardless of gender...;)","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","nicknames","Either of them, doesn't matter"
"2020/09/09 12:09:45 AM GMT+7","Sir/Ma'am","Their nickname","Their first name","Their First name","Mister or Miss followed by their last name","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 12:10:39 AM GMT+7","I totally depends on you.. no one can force you to call them with any particular designation but if you want and are comfortable with.. sir/mam is fine.. ps: No bhaiya/Didi lol","Thier child Birthday party is too far.. am sure if they call you for that.. you'll be having a good bond. . And by then you'll be able to figure what to call them by yourself","Their first name","Their First name","Seriously a position at job shouldn't define your bond/relationship with your seniors/juniors. You should treat your colleagues with utter respect without there post coming in your mind ","Same as above ","Bhai: it's an emotion and so Bhai woks everywhere.. (irrespective of gender lol)","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 12:11:55 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 12:13:16 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 12:14:26 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their nickname","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 12:14:57 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Their First name","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 12:17:20 AM GMT+7","Sir/Ma'am","Their nickname","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Neither of them"
"2020/09/09 12:17:57 AM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bro/Dude/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 12:22:25 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 12:22:38 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 12:27:34 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 12:30:13 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Mister or Master followed by their last name","Their First name","Sir/Ma'am","Mister or Miss followed by their last name","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Online media"
"2020/09/09 12:30:48 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Online media"
"2020/09/09 12:37:17 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Brother/Sister","Either of them, doesn't matter"
"2020/09/09 12:38:39 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 12:39:01 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 12:42:00 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Their nickname","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Online media"
"2020/09/09 12:42:30 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 12:42:58 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 12:45:04 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Online media"
"2020/09/09 12:45:10 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 12:49:02 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their first name followed by 'Ji'","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 12:49:39 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 12:50:11 AM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Mister or Miss followed by their last name","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Online media"
"2020/09/09 12:51:25 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 12:52:45 AM GMT+7","In Ukraine we call them teacher","Teacher","Their first name","Their First name","Their nickname","Sir/Ma'am","Their First name","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Online media"
"2020/09/09 12:53:00 AM GMT+7","Sir/Ma'am","Bhaiya didi / sir mam","Their first name","Their First name","Sir/Ma'am","Depending on the situation","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 12:56:50 AM GMT+7","Their first name","Sir/Ma'am","Their first name","Their First name","Their First name","Their First name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 1:03:07 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","Sir/Ma'am","Their nickname","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 1:07:18 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/09 1:10:15 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 1:11:39 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 1:12:12 AM GMT+7","Uncle or Aunty","Uncle and Aunty","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/09 1:14:01 AM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Mister or Miss followed by their last name","Sir/Ma'am","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 1:14:06 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 1:15:03 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 1:15:05 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 1:17:45 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 1:25:57 AM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bro/Dude/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 1:28:15 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
